trp_multiplayer_profile_troop_male|сеткавы профіль войска мужчына
trp_town_5_horse_merchant_pl|Гандляр коньмі ў горадзе 5
trp_town_6_horse_merchant|Гандляр коньмі
trp_town_6_horse_merchant_pl|Гандляр коньмі ў горадзе 6
trp_town_7_horse_merchant|Гандляр коньмі
trp_town_7_horse_merchant_pl|Гандляр коньмі ў горадзе 7
trp_town_8_horse_merchant|Гандляр коньмі
trp_town_8_horse_merchant_pl|Гандляр коньмі ў горадзе 8
trp_town_9_horse_merchant|Гандляр коньмі
trp_town_9_horse_merchant_pl|Гандляр коньмі ў горадзе 9
trp_town_10_horse_merchant|Гандляр коньмі
trp_town_10_horse_merchant_pl|Гандляр коньмі ў горадзе 10
trp_town_11_horse_merchant|Гандляр коньмі
trp_town_11_horse_merchant_pl|Гандляр коньмі ў горадзе 11
trp_town_12_horse_merchant|Гандляр коньмі
trp_town_12_horse_merchant_pl|Гандляр коньмі ў горадзе 12
trp_town_13_horse_merchant|Гандляр коньмі
trp_town_13_horse_merchant_pl|Гандляр коньмі ў горадзе 13
trp_town_14_horse_merchant|Гандляр коньмі
trp_town_14_horse_merchant_pl|Гандляр коньмі ў горадзе 14
trp_town_15_horse_merchant|Гандляр коньмі
trp_town_15_horse_merchant_pl|Гандляр коньмі ў горадзе 15
trp_town_16_horse_merchant|Гандляр коньмі
trp_town_16_horse_merchant_pl|Гандляр коньмі ў горадзе 16
trp_town_17_horse_merchant|Гандляр коньмі
trp_town_17_horse_merchant_pl|Гандляр коньмі ў горадзе 17
trp_town_18_horse_merchant|Гандляр коньмі
trp_town_18_horse_merchant_pl|Гандляр коньмі ў горадзе 18
trp_town_1_mayor|Гарадскі кіраўнік
trp_town_1_mayor_pl|Гарадскі кіраўнік
trp_town_2_mayor|Гарадскі кіраўнік
trp_town_2_mayor_pl|Гарадскі кіраўнік
trp_town_3_mayor|Гарадскі кіраўнік
trp_town_3_mayor_pl|Гарадскі кіраўнік
trp_town_4_mayor|Гарадскі кіраўнік
trp_town_4_mayor_pl|Гарадскі кіраўнік
trp_town_5_mayor|Гарадскі кіраўнік
trp_town_5_mayor_pl|Гарадскі кіраўнік
trp_town_6_mayor|Гарадскі кіраўнік
trp_town_6_mayor_pl|Гарадскі кіраўнік
trp_town_7_mayor|Гарадскі кіраўнік
trp_town_7_mayor_pl|Гарадскі кіраўнік
trp_town_8_mayor|Гарадскі кіраўнік
trp_town_8_mayor_pl|Гарадскі кіраўнік
trp_town_9_mayor|Гарадскі кіраўнік
trp_town_9_mayor_pl|Гарадскі кіраўнік
trp_town_10_mayor|Гарадскі кіраўнік
trp_town_10_mayor_pl|Гарадскі кіраўнік
trp_town_11_mayor|Гарадскі кіраўнік
trp_town_11_mayor_pl|Гарадскі кіраўнік
trp_town_12_mayor|Гарадскі кіраўнік
trp_town_12_mayor_pl|Гарадскі кіраўнік
trp_town_13_mayor|Гарадскі кіраўнік
trp_town_13_mayor_pl|Гарадскі кіраўнік
trp_town_14_mayor|Гарадскі кіраўнік
trp_town_14_mayor_pl|Гарадскі кіраўнік
trp_town_15_mayor|Гарадскі кіраўнік
trp_town_15_mayor_pl|Гарадскі кіраўнік
trp_town_16_mayor|Гарадскі кіраўнік
trp_town_16_mayor_pl|Гарадскі кіраўнік
trp_town_17_mayor|Гарадскі кіраўнік
trp_town_17_mayor_pl|Гарадскі кіраўнік
trp_town_18_mayor|Гарадскі кіраўнік
trp_town_18_mayor_pl|Гарадскі кіраўнік
trp_castle_1_elder|Гарадскі кіраўнік
trp_castle_1_elder_pl|Цэхавай майстар
trp_castle_2_elder|Гарадскі кіраўнік
trp_castle_2_elder_pl|Цэхавай майстар
trp_castle_3_elder|Гарадскі кіраўнік
trp_castle_3_elder_pl|Цэхавай майстар
trp_castle_4_elder|Гарадскі кіраўнік
trp_castle_4_elder_pl|Цэхавай майстар
trp_castle_5_elder|Гарадскі кіраўнік
trp_castle_5_elder_pl|Цэхавай майстар
trp_castle_6_elder|Гарадскі кіраўнік
trp_castle_6_elder_pl|Цэхавай майстар
trp_castle_7_elder|Гарадскі кіраўнік
trp_castle_7_elder_pl|Цэхавай майстар
trp_castle_8_elder|Гарадскі кіраўнік
trp_castle_8_elder_pl|Цэхавай майстар
trp_castle_9_elder|Гарадскі кіраўнік
trp_castle_9_elder_pl|Цэхавай майстар
trp_castle_10_elder|Гарадскі кіраўнік
trp_castle_10_elder_pl|Цэхавай майстар
trp_castle_11_elder|Гарадскі кіраўнік
trp_castle_11_elder_pl|Цэхавай майстар
trp_castle_12_elder|Гарадскі кіраўнік
trp_castle_12_elder_pl|Цэхавай майстар
trp_castle_13_elder|Гарадскі кіраўнік
trp_castle_13_elder_pl|Цэхавай майстар
trp_castle_14_elder|Гарадскі кіраўнік
trp_castle_14_elder_pl|Цэхавай майстар
trp_castle_15_elder|Гарадскі кіраўнік
trp_castle_15_elder_pl|Цэхавай майстар
trp_castle_16_elder|Гарадскі кіраўнік
trp_castle_16_elder_pl|Цэхавай майстар
trp_castle_17_elder|Гарадскі кіраўнік
trp_castle_17_elder_pl|Цэхавай майстар
trp_castle_18_elder|Гарадскі кіраўнік
trp_castle_18_elder_pl|Цэхавай майстар
trp_castle_19_elder|Гарадскі кіраўнік
trp_castle_19_elder_pl|Цэхавай майстар
trp_castle_20_elder|Гарадскі кіраўнік
trp_castle_20_elder_pl|Цэхавай майстар
trp_castle_21_elder|Гарадскі кіраўнік
trp_castle_21_elder_pl|Цэхавай майстар
trp_castle_22_elder|Гарадскі кіраўнік
trp_castle_22_elder_pl|Цэхавай майстар
trp_castle_23_elder|Гарадскі кіраўнік
trp_castle_23_elder_pl|Цэхавай майстар
trp_castle_24_elder|Гарадскі кіраўнік
trp_castle_24_elder_pl|Цэхавай майстар
trp_castle_25_elder|Гарадскі кіраўнік
trp_castle_25_elder_pl|Цэхавай майстар
trp_castle_26_elder|Гарадскі кіраўнік
trp_castle_26_elder_pl|Цэхавай майстар
trp_castle_27_elder|Гарадскі кіраўнік
trp_castle_27_elder_pl|Цэхавай майстар
trp_castle_28_elder|Гарадскі кіраўнік
trp_castle_28_elder_pl|Цэхавай майстар
trp_castle_29_elder|Гарадскі кіраўнік
trp_castle_29_elder_pl|Цэхавай майстар
trp_castle_30_elder|Гарадскі кіраўнік
trp_castle_30_elder_pl|Цэхавай майстар
trp_castle_31_elder|Гарадскі кіраўнік
trp_castle_31_elder_pl|Цэхавай майстар
trp_castle_32_elder|Гарадскі кіраўнік
trp_castle_32_elder_pl|Цэхавай майстар
trp_castle_33_elder|Гарадскі кіраўнік
trp_castle_33_elder_pl|Цэхавай майстар
trp_castle_34_elder|Гарадскі кіраўнік
trp_castle_34_elder_pl|Цэхавай майстар
trp_castle_35_elder|Гарадскі кіраўнік
trp_castle_35_elder_pl|Цэхавай майстар
trp_castle_36_elder|Гарадскі кіраўнік
trp_castle_36_elder_pl|Цэхавай майстар
trp_castle_37_elder|Гарадскі кіраўнік
trp_castle_37_elder_pl|Цэхавай майстар
trp_castle_38_elder|Гарадскі кіраўнік
trp_castle_38_elder_pl|Цэхавай майстар
trp_castle_39_elder|Гарадскі кіраўнік
trp_castle_39_elder_pl|Цэхавай майстар
trp_castle_40_elder|Гарадскі кіраўнік
trp_castle_40_elder_pl|Цэхавай майстар
trp_town_1_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_1_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_2_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_2_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_3_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_3_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_4_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_4_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_5_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_5_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_6_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_6_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_7_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_7_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_8_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_8_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_9_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_9_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_10_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_10_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_11_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_11_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_12_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_12_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_13_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_13_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_14_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_14_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_15_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_15_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_16_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_16_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_17_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_17_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_18_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_town_18_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_1_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_1_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_2_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_2_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_3_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_3_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_4_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_4_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_5_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_5_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_6_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_6_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_7_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_7_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_8_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_8_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_9_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_9_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_10_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_10_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_11_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_11_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_12_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_12_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_13_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_13_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_14_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_14_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_15_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_15_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_16_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_16_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_17_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_17_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_18_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_18_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_19_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_19_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_20_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_20_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_21_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_21_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_22_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_22_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_23_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_23_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_24_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_24_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_25_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_25_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_26_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_26_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_27_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_27_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_28_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_28_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_29_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_29_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_30_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_30_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_31_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_31_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_32_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_32_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_33_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_33_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_34_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_34_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_35_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_35_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_36_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_36_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_37_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_37_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_38_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_38_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_39_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_39_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_castle_40_trade_guild_master|Кіраўнік гандлёвай гільдыі
trp_castle_40_trade_guild_master_pl|Кіраўнік гандлёвай гільдыі
trp_town_1_garrison_officer|Камандзір гарнізона
trp_town_1_garrison_officer_pl|Камандзір гарнізона
trp_town_2_garrison_officer|Камандзір гарнізона
trp_town_2_garrison_officer_pl|Камандзір гарнізона
trp_town_3_garrison_officer|Камандзір гарнізона
trp_town_3_garrison_officer_pl|Камандзір гарнізона
trp_town_4_garrison_officer|Камандзір гарнізона
trp_town_4_garrison_officer_pl|Камандзір гарнізона
trp_town_5_garrison_officer|Камандзір гарнізона
trp_town_5_garrison_officer_pl|Камандзір гарнізона
trp_town_6_garrison_officer|Камандзір гарнізона
trp_town_6_garrison_officer_pl|Камандзір гарнізона
trp_town_7_garrison_officer|Камандзір гарнізона
trp_town_7_garrison_officer_pl|Камандзір гарнізона
trp_town_8_garrison_officer|Камандзір гарнізона
trp_town_8_garrison_officer_pl|Камандзір гарнізона
trp_town_9_garrison_officer|Камандзір гарнізона
trp_town_9_garrison_officer_pl|Камандзір гарнізона
trp_town_10_garrison_officer|Камандзір гарнізона
trp_town_10_garrison_officer_pl|Камандзір гарнізона
trp_town_11_garrison_officer|Камандзір гарнізона
trp_town_11_garrison_officer_pl|Камандзір гарнізона
trp_town_12_garrison_officer|Камандзір гарнізона
trp_town_12_garrison_officer_pl|Камандзір гарнізона
trp_town_13_garrison_officer|Камандзір гарнізона
trp_town_13_garrison_officer_pl|Камандзір гарнізона
trp_town_14_garrison_officer|Камандзір гарнізона
trp_town_14_garrison_officer_pl|Камандзір гарнізона
trp_town_15_garrison_officer|Камандзір гарнізона
trp_town_15_garrison_officer_pl|Камандзір гарнізона
trp_town_16_garrison_officer|Камандзір гарнізона
trp_town_16_garrison_officer_pl|Камандзір гарнізона
trp_town_17_garrison_officer|Камандзір гарнізона
trp_town_17_garrison_officer_pl|Камандзір гарнізона
trp_town_18_garrison_officer|Камандзір гарнізона
trp_town_18_garrison_officer_pl|Камандзір гарнізона
trp_castle_1_garrison_officer|Камандзір гарнізона
trp_castle_1_garrison_officer_pl|Камандзір гарнізона
trp_castle_2_garrison_officer|Камандзір гарнізона
trp_castle_2_garrison_officer_pl|Камандзір гарнізона
trp_castle_3_garrison_officer|Камандзір гарнізона
trp_castle_3_garrison_officer_pl|Камандзір гарнізона
trp_castle_4_garrison_officer|Камандзір гарнізона
trp_castle_4_garrison_officer_pl|Камандзір гарнізона
trp_castle_5_garrison_officer|Камандзір гарнізона
trp_castle_5_garrison_officer_pl|Камандзір гарнізона
trp_castle_6_garrison_officer|Камандзір гарнізона
trp_castle_6_garrison_officer_pl|Камандзір гарнізона
trp_castle_7_garrison_officer|Камандзір гарнізона
trp_castle_7_garrison_officer_pl|Камандзір гарнізона
trp_castle_8_garrison_officer|Камандзір гарнізона
trp_castle_8_garrison_officer_pl|Камандзір гарнізона
trp_castle_9_garrison_officer|Камандзір гарнізона
trp_castle_9_garrison_officer_pl|Камандзір гарнізона
trp_castle_10_garrison_officer|Камандзір гарнізона
trp_castle_10_garrison_officer_pl|Камандзір гарнізона
trp_castle_11_garrison_officer|Камандзір гарнізона
trp_castle_11_garrison_officer_pl|Камандзір гарнізона
trp_castle_12_garrison_officer|Камандзір гарнізона
trp_castle_12_garrison_officer_pl|Камандзір гарнізона
trp_castle_13_garrison_officer|Камандзір гарнізона
trp_castle_13_garrison_officer_pl|Камандзір гарнізона
trp_castle_14_garrison_officer|Камандзір гарнізона
trp_castle_14_garrison_officer_pl|Камандзір гарнізона
trp_castle_15_garrison_officer|Камандзір гарнізона
trp_castle_15_garrison_officer_pl|Камандзір гарнізона
trp_castle_16_garrison_officer|Камандзір гарнізона
trp_castle_16_garrison_officer_pl|Камандзір гарнізона
trp_castle_17_garrison_officer|Камандзір гарнізона
trp_castle_17_garrison_officer_pl|Камандзір гарнізона
trp_castle_18_garrison_officer|Камандзір гарнізона
trp_castle_18_garrison_officer_pl|Камандзір гарнізона
trp_castle_19_garrison_officer|Камандзір гарнізона
trp_castle_19_garrison_officer_pl|Камандзір гарнізона
trp_castle_20_garrison_officer|Камандзір гарнізона
trp_castle_20_garrison_officer_pl|Камандзір гарнізона
trp_castle_21_garrison_officer|Камандзір гарнізона
trp_castle_21_garrison_officer_pl|Камандзір гарнізона
trp_castle_22_garrison_officer|Камандзір гарнізона
trp_castle_22_garrison_officer_pl|Камандзір гарнізона
trp_castle_23_garrison_officer|Камандзір гарнізона
trp_castle_23_garrison_officer_pl|Камандзір гарнізона
trp_castle_24_garrison_officer|Камандзір гарнізона
trp_castle_24_garrison_officer_pl|Камандзір гарнізона
trp_castle_25_garrison_officer|Камандзір гарнізона
trp_castle_25_garrison_officer_pl|Камандзір гарнізона
trp_castle_26_garrison_officer|Камандзір гарнізона
trp_castle_26_garrison_officer_pl|Камандзір гарнізона
trp_castle_27_garrison_officer|Камандзір гарнізона
trp_castle_27_garrison_officer_pl|Камандзір гарнізона
trp_castle_28_garrison_officer|Камандзір гарнізона
trp_castle_28_garrison_officer_pl|Камандзір гарнізона
trp_castle_29_garrison_officer|Камандзір гарнізона
trp_castle_29_garrison_officer_pl|Камандзір гарнізона
trp_castle_30_garrison_officer|Камандзір гарнізона
trp_castle_30_garrison_officer_pl|Камандзір гарнізона
trp_castle_31_garrison_officer|Камандзір гарнізона
trp_castle_31_garrison_officer_pl|Камандзір гарнізона
trp_castle_32_garrison_officer|Камандзір гарнізона
trp_castle_32_garrison_officer_pl|Камандзір гарнізона
trp_castle_33_garrison_officer|Камандзір гарнізона
trp_castle_33_garrison_officer_pl|Камандзір гарнізона
trp_castle_34_garrison_officer|Камандзір гарнізона
trp_castle_34_garrison_officer_pl|Камандзір гарнізона
trp_castle_35_garrison_officer|Камандзір гарнізона
trp_castle_35_garrison_officer_pl|Камандзір гарнізона
trp_castle_36_garrison_officer|Камандзір гарнізона
trp_castle_36_garrison_officer_pl|Камандзір гарнізона
trp_castle_37_garrison_officer|Камандзір гарнізона
trp_castle_37_garrison_officer_pl|Камандзір гарнізона
trp_castle_38_garrison_officer|Камандзір гарнізона
trp_castle_38_garrison_officer_pl|Камандзір гарнізона
trp_castle_39_garrison_officer|Камандзір гарнізона
trp_castle_39_garrison_officer_pl|Камандзір гарнізона
trp_castle_40_garrison_officer|Камандзір гарнізона
trp_castle_40_garrison_officer_pl|Камандзір гарнізона
trp_village_1_elder|Стараста вёскі
trp_village_1_elder_pl|Стараста вёскі 1
trp_village_2_elder|Стараста вёскі
trp_village_2_elder_pl|Стараста вёскі 1
trp_village_3_elder|Стараста вёскі
trp_village_3_elder_pl|Стараста вёскі 1
trp_village_4_elder|Стараста вёскі
trp_village_4_elder_pl|Стараста вёскі 1
trp_village_5_elder|Стараста вёскі
trp_village_5_elder_pl|Стараста вёскі 1
trp_village_6_elder|Стараста вёскі
trp_village_6_elder_pl|Стараста вёскі 1
trp_village_7_elder|Стараста вёскі
trp_village_7_elder_pl|Стараста вёскі 1
trp_village_8_elder|Стараста вёскі
trp_village_8_elder_pl|Стараста вёскі 1
trp_village_9_elder|Стараста вёскі
trp_village_9_elder_pl|Стараста вёскі 1
trp_village_10_elder|Стараста вёскі
trp_village_10_elder_pl|Стараста вёскі 1
trp_village_11_elder|Стараста вёскі
trp_village_11_elder_pl|Стараста вёскі 1
trp_village_12_elder|Стараста вёскі
trp_village_12_elder_pl|Стараста вёскі 1
trp_village_13_elder|Стараста вёскі
trp_village_13_elder_pl|Стараста вёскі 1
trp_village_14_elder|Стараста вёскі
trp_village_14_elder_pl|Стараста вёскі 1
trp_village_15_elder|Стараста вёскі
trp_village_15_elder_pl|Стараста вёскі 1
trp_village_16_elder|Стараста вёскі
trp_village_16_elder_pl|Стараста вёскі 1
trp_village_17_elder|Стараста вёскі
trp_village_17_elder_pl|Стараста вёскі 1
trp_village_18_elder|Стараста вёскі
trp_village_18_elder_pl|Стараста вёскі 1
trp_village_19_elder|Стараста вёскі
trp_village_19_elder_pl|Стараста вёскі 1
trp_village_20_elder|Стараста вёскі
trp_village_20_elder_pl|Стараста вёскі 1
trp_village_21_elder|Стараста вёскі
trp_village_21_elder_pl|Стараста вёскі 1
trp_village_22_elder|Стараста вёскі
trp_village_22_elder_pl|Стараста вёскі 1
trp_village_23_elder|Стараста вёскі
trp_village_23_elder_pl|Стараста вёскі 1
trp_village_24_elder|Стараста вёскі
trp_village_24_elder_pl|Стараста вёскі 1
trp_village_25_elder|Стараста вёскі
trp_village_25_elder_pl|Стараста вёскі 1
trp_village_26_elder|Стараста вёскі
trp_village_26_elder_pl|Стараста вёскі 1
trp_village_27_elder|Стараста вёскі
trp_village_27_elder_pl|Стараста вёскі 1
trp_village_28_elder|Стараста вёскі
trp_village_28_elder_pl|Стараста вёскі 1
trp_village_29_elder|Стараста вёскі
trp_village_29_elder_pl|Стараста вёскі 1
trp_village_30_elder|Стараста вёскі
trp_village_30_elder_pl|Стараста вёскі 1
trp_village_31_elder|Стараста вёскі
trp_village_31_elder_pl|Стараста вёскі 1
trp_village_32_elder|Стараста вёскі
trp_village_32_elder_pl|Стараста вёскі 1
trp_village_33_elder|Стараста вёскі
trp_village_33_elder_pl|Стараста вёскі 1
trp_village_34_elder|Стараста вёскі
trp_village_34_elder_pl|Стараста вёскі 1
trp_village_35_elder|Стараста вёскі
trp_village_35_elder_pl|Стараста вёскі 1
trp_village_36_elder|Стараста вёскі
trp_village_36_elder_pl|Стараста вёскі 1
trp_village_37_elder|Стараста вёскі
trp_village_37_elder_pl|Стараста вёскі 1
trp_village_38_elder|Стараста вёскі
trp_village_38_elder_pl|Стараста вёскі 1
trp_village_39_elder|Стараста вёскі
trp_village_39_elder_pl|Стараста вёскі 1
trp_village_40_elder|Стараста вёскі
trp_village_40_elder_pl|Стараста вёскі 1
trp_village_41_elder|Стараста вёскі
trp_village_41_elder_pl|Стараста вёскі 1
trp_village_42_elder|Стараста вёскі
trp_village_42_elder_pl|Стараста вёскі 1
trp_village_43_elder|Стараста вёскі
trp_village_43_elder_pl|Стараста вёскі 1
trp_village_44_elder|Стараста вёскі
trp_village_44_elder_pl|Стараста вёскі 1
trp_village_45_elder|Стараста вёскі
trp_village_45_elder_pl|Стараста вёскі 1
trp_village_46_elder|Стараста вёскі
trp_village_46_elder_pl|Стараста вёскі 1
trp_village_47_elder|Стараста вёскі
trp_village_47_elder_pl|Стараста вёскі 1
trp_village_48_elder|Стараста вёскі
trp_village_48_elder_pl|Стараста вёскі 1
trp_village_49_elder|Стараста вёскі
trp_village_49_elder_pl|Стараста вёскі 1
trp_village_50_elder|Стараста вёскі
trp_village_50_elder_pl|Стараста вёскі 1
trp_village_51_elder|Стараста вёскі
trp_village_51_elder_pl|Стараста вёскі 1
trp_village_52_elder|Стараста вёскі
trp_village_52_elder_pl|Стараста вёскі 1
trp_village_53_elder|Стараста вёскі
trp_village_53_elder_pl|Стараста вёскі 1
trp_village_54_elder|Стараста вёскі
trp_village_54_elder_pl|Стараста вёскі 1
trp_village_55_elder|Стараста вёскі
trp_village_55_elder_pl|Стараста вёскі 1
trp_village_56_elder|Стараста вёскі
trp_village_56_elder_pl|Стараста вёскі 1
trp_village_57_elder|Стараста вёскі
trp_village_57_elder_pl|Стараста вёскі 1
trp_village_58_elder|Стараста вёскі
trp_village_58_elder_pl|Стараста вёскі 1
trp_village_59_elder|Стараста вёскі
trp_village_59_elder_pl|Стараста вёскі 1
trp_village_60_elder|Стараста вёскі
trp_village_60_elder_pl|Стараста вёскі 1
trp_village_61_elder|Стараста вёскі
trp_village_61_elder_pl|Стараста вёскі 1
trp_village_62_elder|Стараста вёскі
trp_village_62_elder_pl|Стараста вёскі 1
trp_village_63_elder|Стараста вёскі
trp_village_63_elder_pl|Стараста вёскі 1
trp_village_64_elder|Стараста вёскі
trp_village_64_elder_pl|Стараста вёскі 1
trp_village_65_elder|Стараста вёскі
trp_village_65_elder_pl|Стараста вёскі 1
trp_village_66_elder|Стараста Замошша
trp_village_66_elder_pl|Стараста вёскі 1
trp_village_67_elder|Стараста вёскі
trp_village_67_elder_pl|Стараста вёскі 1
trp_village_68_elder|Стараста вёскі
trp_village_68_elder_pl|Стараста вёскі 1
trp_village_69_elder|Стараста вёскі
trp_village_69_elder_pl|Стараста вёскі 1
