str_no_string|НЯМА РАДКОЎ!
str_comment_you_helped_my_ally_default|Мне сказалі, што {s54} атрымаў ад цябе дапамогу ў цяжкую хвіліну. Дзякую Табе за гэта!
str_comment_you_abandoned_us_unfriendly_spiteful|Мне сказалі, што {s54} перамог цябе. Дурное паражэнне.
str_comment_you_abandoned_us_unfriendly_pitiless|Мне сказалі, што {s54} перамог цябе. Мужайся-хутка ўсё зменіцца!
str_comment_you_abandoned_us_spiteful|Нікчэмнасць! Ты кінуў нас на разарванне ворагу!
str_comment_you_abandoned_us_chivalrous|Ты кінуў мяне ў баі з ворагам! Тваёй баязлівасці няма апраўдання!
str_comment_you_abandoned_us_benefitofdoubt|Ты знік у самы разгар бою! Спадзяюся, у цябе ёсць годнае тлумачэнне?
str_comment_you_abandoned_us_default|У чым справа? Ты знік з-пад увагі ў самы разгар бою! Спадзяюся, ты быў цяжка паранены, у іншым выпадку ты запляміў сваё імя ганьбай.
str_comment_you_ran_from_me_enemy_spiteful|У чым справа? Цябе хапіліся ў самы разгар бою! Спадзяюся, што цябе паранілі, інакш і не ведаю, што падумаць...
str_comment_you_ran_from_me_enemy_chivalrous|У чым справа? Спачатку ты змагаўся разам з намі, а потым проста знік!
str_comment_you_ran_from_me_enemy_benevolent|Калі мы бачыліся ў апошні раз, ты збег ад мяне, падціснуўшы хвост. Навошта вярнуўся? Зноў гаўкаць на мяне ці ж маліць аб літасці?
str_comment_you_ran_from_me_enemy_coldblooded|У мінулы раз ты збег ад мяне. Чаго можна яшчэ чакаць ад бязроднага выскачкі?
str_comment_you_ran_from_me_enemy|Калі ты збег ад мяне ў апошні раз, ува мне зацеплілася надзея, што мне не давядзецца змагацца з табой зноў.
str_comment_you_ran_from_foe_allied_chivalrous|У мінулы раз ты збег ад мяне - гэта было вельмі разумна з твайго боку.
str_comment_you_ran_from_foe_allied_upstanding|У мінулы раз табе ўдалося ад мяне збегчы, але больш табе такой удачы не выпадзе.
str_comment_you_ran_from_foe_allied_spiteful|Пагаворваюць, быццам ты збег ад ворага, кінуўшы ўсіх сваіх людзей. Малю бога, каб гэта аказалася хлуснёй, інакш мы ўсе будзем зганьбаваныя.
str_comment_you_defeated_my_friend_enemy_pragmatic|А, {playername}.Тваё імя стала шырока вядома сярод маіх саюзнікаў. Нехта {s54}, думаю, да гэтага часу залізвае свае раны.
str_comment_you_defeated_my_friend_enemy_chivalrous|{playername}, я выклікаю цябе на паядынак. {s54} верне свой гонар.
str_comment_you_defeated_my_friend_enemy_spiteful|Ты праславіўся як магутны воін, {playername}. Аднак не дазваляй гонару пераможцы засланяць тваю вайсковую гонар. 
str_comment_you_defeated_my_friend_enemy|Пагаворваюць, быццам кідае ўсіх праціўнікаў, што сустракаюцца табе на шляху. Што ж, калі табе падаравана сіла, распараджайся ёю з розумам.
str_comment_you_captured_a_lord_allied_friendly_spiteful|Твая слава бяжыць наперадзе цябе, {playername}. Думаю, ты сапраўды небяспечны праціўнік.
str_comment_you_captured_a_lord_allied_unfriendly_spiteful|Я ведаю, ты слаўны воін і зямля поўніцца чуткамі пра твае подзвігі. Аднак не забывай пра вайсковую гонару, бо без яе ты ператворышся ў стрыманага забойцу.
str_comment_you_captured_a_lord_allied_chivalrous|Кажуць, што ты ўзяў у палон {s54}. Спадзяюся, ты выціснуў з яго ўсё да апошняга талера.
str_comment_you_captured_a_lord_allied|Кажуць, што ты ўзяў у палон {s54}. Павінна быць, твае скрыні цяпер б'юцца ад здабычы, але ад гэтага ты не станеш радавітым дваранінам!
str_comment_you_let_go_a_lord_allied_chivalrous|Кажуць, што ты ўзяў у палон {s54}. Гэта добра. Спадзяюся, з ім звярталіся, як належыць пры яго чыне?
str_comment_you_let_go_a_lord_allied_upstanding|Кажуць, што ты ўзяў у палон {s54}. Гэта добра. Без яго яго арміі і кроку ступіць не змогуць.
str_comment_you_let_go_a_lord_allied_coldblooded|Мне сказалі, што {s54} трапіў да цябе ў палон, але ты яго адпусціў. Памятай, што, адпускаючы гэтага чалавека, ты здзяйсняеш подласць ў адносінах да яго ворагам.
str_comment_you_let_go_a_lord_allied_unfriendly_spiteful|Мне сказалі, што {s54} трапіў да цябе ў палон, але ты яго адпусціў. Вельмі годны ўчынак, але небяспечны.
str_comment_you_let_go_a_lord_allied|Мне сказалі, што {s54} трапіў да цябе ў палон, але ты яго адпусціў. Вельмі высакародна з твайго боку, але войны выйграюцца зусім не высакароднасцю.
str_comment_you_let_me_go_spiteful|А, няўжо гэта {playername}. Пры мінулай нашай сустрэчы я пацярпеў паразу, і табе прыйшло ў галаву адпусціць мяне дадому без славы і без войска. Мне давядзецца адпомсціць табе за гэта прыніжэньне.
str_comment_you_let_me_go_enemy_chivalrous|Мы зноў сустрэліся, {s54}. Я дзякую Табе за маё вызваленне падчас нашай апошняй сустрэчы. Я спадзяюся, што калі-небудзь змагу адплаціць табе тым жа.
str_comment_you_let_me_go_enemy_coldblooded|Падчас нашай апошняй сустрэчы ты злітаваўся нада мной і адпусціў. Спадзяюся, табе спадабалася гуляць са мной у кошкі-мышкі, але ў наступны раз ужо я буду зневажаць цябе і вырашаць твой лёс!
str_comment_you_let_me_go_enemy|Падчас нашай апошняй сустрэчы ты злітаваўся нада мной і адпусціў. Гэта было вельмі высакародна з твайго боку, і я гэтага не забуду. Але нашы дзяржавы, на жаль, ваююць.
str_comment_you_let_me_go_default|Падчас нашай апошняй сустрэчы ты злітаваўся нада мной і адпусціў. Але мы з табой дагэтуль ворагі, і я не магу абяцаць, што адплачу табе тым жа.
str_comment_pledged_allegiance_allied_martial_unfriendly|Падчас нашай апошняй сустрэчы ты злітаваўся нада мной і адпусціў. Ты вельмі добры, але паміж намі да гэтага часу вайна, не забывай.
str_comment_pledged_allegiance_allied_martial|Падчас нашай апошняй сустрэчы ты злітаваўся нада мной і адпусціў. Ты вельмі добры. Дзякуй богу, што нашы дзяржавы больш не ваююць.
str_comment_pledged_allegiance_allied_quarrelsome_unfriendly|Кажуць, наш спадар {s54} прыняў ад цябе прысягу вернасці. Прашу, не зганьбі нас ганебнымі ўчынкамі.
str_comment_pledged_allegiance_allied_quarrelsome|Кажуць, што наш спадар {s54} прыняў ад цябе прысягу вернасці. Мне не трываецца пайсці з табой На бой з ворагамі!
str_comment_pledged_allegiance_allied_selfrighteous_unfriendly|Кажуць, наш спадар {s54} прыняў ад цябе прысягу вернасці. Цьфу. Будзь ласкавы, трымайся ад мяне далей.
str_comment_pledged_allegiance_allied_selfrighteous|Кажуць, наш спадар {s54} прыняў ад цябе прысягу вернасці. Змагайся з ворагамі, паважай вышэйстаячых, не сварыся са мной-і ўсё ў цябе будзе выдатна.
str_comment_pledged_allegiance_allied_cunning_unfriendly|Кажуць, наш спадар {s54} прыняў ад цябе прысягу вернасці. На яго месцы я б табе і боты чысціць не даверыў.
str_comment_pledged_allegiance_allied_cunning|Кажуць, наш спадар {s54} прыняў ад цябе прысягу вернасці. Змагайся адважна-і атрымлівай ўзнагароду. А аддасі нас-наракай на сябе.
str_comment_pledged_allegiance_allied_debauched_unfriendly|Кажуць, наш спадар {s54} прыняў ад цябе прысягу вернасці. Мне не падабаецца гэтае рашэнне, але, думаю, лепш мець цябе ў сябрах, чым у ворагах.
str_comment_pledged_allegiance_allied_debauched|Кажуць, наш спадар {s54} прыняў ад цябе прысягу вернасці. Гэта добра. Чым больш вопытных салдат будзе ў нас у гэты складаны час, тым лепш. Я буду назіраць за табой.
str_comment_pledged_allegiance_allied_goodnatured_unfriendly|Кажуць, наш спадар {s54} прыняў ад цябе прысягу вернасці. Несумненна, хутка ты аддасі яго, а я з задавальненнем пагляджу, як цябе караюць смерцю за здраду.
str_comment_pledged_allegiance_allied_goodnatured|Кажуць, наш спадар {s54} прыняў ад цябе прысягу вернасці. Выдатна... Думаю, мы з табой хутка станем добрымі сябрамі. Але памятай - калі ты нас аддасі, гэта стане самай вялікай памылкай у тваім жыцці.
str_comment_pledged_allegiance_allied_upstanding_unfriendly|Кажуць, наш спадар {s54} прыняў ад цябе прысягу вернасці. Што ж, не магу сказаць, што я табе давяраю, але спадару лепш відаць.
str_comment_pledged_allegiance_allied_upstanding|Кажуць, наш спадар {s54} прыняў ад цябе прысягу вернасці. Ведай жа, што наш спадар-вельмі высакародны чалавек і за адданасць плаціць дабрынёй і шчодрасцю!
str_comment_our_king_granted_you_a_fief_allied_friendly_cruel|Кажуць, наш спадар {s54} прыняў ад цябе прысягу вернасці. Нажаль, я ведаю пра цябе занадта шмат, каб ставіцца да цябе добра. Спадзяюся, я памыліўся.
str_comment_our_king_granted_you_a_fief_allied_friendly_cynical|Кажуць, наш спадар {s54} прыняў ад цябе прысягу вернасці. Змагайся з ворагамі без страху і не забывай пра гонар і міласэрнасці. Добрае імя гэтак жа каштоўна, як вострая піка і хуткая каня.
str_comment_our_king_granted_you_a_fief_allied_friendly|Кажуць, {s54} дараваў табе {s51}. Не забывай: пашкадуеш бізуна-сапсуеш сялян!
str_comment_our_king_granted_you_a_fief_allied_unfriendly_upstanding|Кажуць, {s54} дараваў табе {s51}. Жадаю табе ўсялякага росквіту, але будзь асцярожны! Людзі злыя, зайздросныя і прагныя да чужога багацця. Трымайся бліжэй да мяне і будзеш у бяспецы.
str_comment_our_king_granted_you_a_fief_allied_unfriendly_spiteful|Кажуць, {s54} дараваў табе {s51}. Няхай вашы новыя землі квітнеюць!
str_comment_our_king_granted_you_a_fief_allied_spiteful|Кажуць, {s54} дараваў табе {s51}. Прашу не забывай, што ганарыстасць-першы прадвеснік падзення.
str_comment_our_king_granted_you_a_fief_allied|Кажуць, {s54} дараваў табе {s51}. Аднак я думаю, што багацце даецца табе толькі для таго, каб за ім рушыла ўслед хваравітае прыніжэньне, калі спадар шпурне цябе назад у бруд, з якой ты выйшаў.
str_comment_you_renounced_your_alliegance_enemy_friendly|Кажуць, {s54} дараваў табе {s51}. Спадзяюся, вы сапраўды заслужылі такую ласку.
str_comment_you_renounced_your_alliegance_friendly|Кажуць, {s54} дараваў табе {s51}. Бачу, справы ў цябе ідуць нядрэнна.
str_comment_you_renounced_your_alliegance_unfriendly_spiteful|Кажуць, ты пасварыўся з {s54}. Мне горка таму, што нам цяпер прыйдзецца сысціся на поле бою.
str_comment_you_renounced_your_alliegance_unfriendly_moralizing|Кажуць, ты пасварыўся з {s54}. Будзем спадзявацца, што да вайны справа не дойдзе.
str_comment_you_renounced_your_alliegance_enemy|Мне заўсёды здавалася, што {s54} можа чакаць ад цябе толькі здрады-так яно і выйшла! Спадзяюся, ты гатовы да ганебнай смерці?
str_comment_you_renounced_your_alliegance_default|Кажуць, што ты і наш спадар - {s54} - цяпер ворагі. З гэтага часу ў маіх вачах ты-здраднік.
str_personality_archetypes|Кажуць, ты нешта не падзяліў з нашым спадаром - {s54}. Нажаль, часам старыя сябры становяцца ворагамі...
str_martial|Кажуць, што ты цяпер варагуеш з нашым спадаром - {s54}. Што ж, справа твая, але ў баі ад мяне літасці не чакай.
str_quarrelsome|са складаным характарам
str_selfrighteous|не ведае жалю
str_cunning|хітрун
str_debauched|садыст
str_goodnatured|добрай душы
str_upstanding|сумленнай душы
str_surrender_demand_default|Здавайся або памрэш!
str_surrender_demand_martial|Сёння табе не пашанцавала. Можаш працягваць бой, але калі здасі, гэта будзе не менш годным учынкам.
str_surrender_demand_quarrelsome|Выхаду ў цябе няма. Здавайся або памрэш, як сабака!
str_surrender_demand_pitiless|Табе мяне не перамагчы, а калі паспрабуеш, я правучу цябе як след. Здавайся!
str_surrender_demand_cunning|Вы сёння відавочна ў меншасці. Здавайся - не пра сябе, так пра людзей сваіх падумай!
str_surrender_demand_sadistic|Здавайся, або вытрыбушыць, як рыбу!
str_surrender_demand_goodnatured|Нас больш. Здавайся, і мы пашкадуем цябе.
str_surrender_demand_upstanding|Можаш змагацца, але многія твае людзі будуць забітыя, а ты пацерпіш паразу. Здавайся, не будзем бессэнсоўна праліваць кроў.
str_surrender_offer_default|Стойце! Я здаюся!
str_surrender_offer_martial|Стойце! Я здаюся!
str_surrender_offer_quarrelsome|Хопіць! Добра, сёння ты перамог! Цьфу, каб цябе!
str_surrender_offer_pitiless|Здаюся, ты перамог. Праклён!
str_surrender_offer_cunning|Хопіць! Здаюся!
str_surrender_offer_sadistic|Здаюся, здаюся! Пакліч сваіх сабак!
str_surrender_offer_goodnatured|Здаюся! Віншую з перамогай, {спадар / спадарыня}.
str_surrender_offer_upstanding|Здаюся! Спадзяюся, ты абыйдзешся са мной па гонару!
str_prisoner_released_default|Дзякую, {спадар / спадарыня}. Я не забуду тваёй дабрыні.
str_prisoner_released_martial|Ты неверагодна высакародны, {спадар / спадарыня}. Я не забуду гэтага!
str_prisoner_released_quarrelsome|Адпускаеш? Ну што ж... Да пабачэння.
str_prisoner_released_pitiless|Дзякуй. Калі ты прайграеш, я папрашу аб хуткай і лёгкай смерці для цябе. Калі, вядома, ты не пяройдзеш на наш бок. А пакуль-Бывай!
str_prisoner_released_cunning|Ты вельмі добры, {спадар / спадарыня}. Я абавязкова аддзячу табе.
str_prisoner_released_sadistic|Ты настолькі жорсткі, што аддаеш перавагу зняважыць мяне свабодай, чым закаваць у кайданы? Што ж, святкуй!
str_prisoner_released_goodnatured|Ты неверагодна высакародны, {спадар / спадарыня}. Я не забуду гэтага!
str_prisoner_released_upstanding|Ты неверагодна высакародны, {спадар / спадарыня}. Я не забуду гэтага!
str_enemy_meet_default|Хто ты, уласна, такі што ідзеш на мяне вайной?
str_enemy_meet_martial|Як цябе завуць, {спадар / спадарыня}? Хацелася б ведаць тваё імя на выпадак, калі трэба будзе пазмагацца.
str_enemy_meet_quarrelsome|А ты яшчэ хто такі?
str_enemy_meet_pitiless|Хто ты? Кажы, я хачу ведаць, каго забіваю.
str_enemy_meet_cunning|Назаві сваё імя, Я хачу ведаць свайго ворага.
str_enemy_meet_sadistic|Хто ты? Адказвай, а не тое выражу мову!
str_enemy_meet_goodnatured|Як цябе завуць, {спадар / спадарыня}? Хацелася б ведаць тваё імя на выпадак, калі трэба будзе пазмагацца.
str_enemy_meet_upstanding|Хто ты, што дазваляеш сабе перашкаджаць нашай праведнай справе са зброяй у руках?
str_battle_won_default|Сёння ты паказаў сябе як самы верны саюзнік!
str_battle_won_martial|Няма большага шчасця, чым як след праявіць сябе на поле бою!
str_battle_won_quarrelsome|Ха! Шляхетна мы правучылі гэтых прыдуркаў, а?
str_battle_won_pitiless|Разам мы ўселім жах у сэрцы ворага, і ён будзе выць ад страху пры нашым з'яўленні!
str_battle_won_cunning|Цяпер мы павінны замацаваць поспех, каб сённяшняе кровапраліцце не было марным.
str_battle_won_sadistic|Цяпер трэба абабраць іх мерцвякоў і пакінуць на з'ядзенне варонай - хай ведаюць, як ваяваць з намі!
str_battle_won_goodnatured|Выдатны быў бой! Няма нічога саладзей перамогі, праўда ж?
str_battle_won_upstanding|Дзякуем жа нябёсы за перамогу і аплачваем лёс усіх загінуўшых.
str_battle_won_grudging_default|Сёння ты дапамог змяніць ход бою. Якім бы ні было маё меркаванне пра цябе, я ўдзячны табе за дапамогу.
str_battle_won_grudging_martial|{playername}, нягледзячы на ўсе твае мінулыя грахі, сёння ты праявіў сябе як верны саюзнік!
str_battle_won_grudging_quarrelsome|Хм. Не скажу, што мне прыемна бачыць цябе, але, думаю, трэба падзякаваць цябе за дапамогу.
str_battle_won_grudging_pitiless|Ваша дапамога неацэнная. Мне ніколі не прыходзіла думка, што ты здольны прыйсці мне на дапамогу, але, тым не менш, дзякуй.
str_battle_won_grudging_cunning|Дзякуй за дапамогу ў цяжкую хвіліну... Дзякуй.
str_battle_won_grudging_sadistic|Аб, як кранальна - {playername} спяшаецца на дапамогу!
str_battle_won_grudging_goodnatured|{playername}! У мінулым мы не вельмі-то ладзілі, але сёння ты змагаўся хвацка. Прымі маю падзяку!
str_battle_won_grudging_upstanding|Магчыма, маё меркаванне наконт цябе было памылковым... Ты прыйшоў як раз своечасова, дзякуй за гэта.
str_battle_won_unfriendly_default|Ой, ты тут. Што ж, лепш позна, чым ніколі.
str_battle_won_unfriendly_martial|У мінулым мы не вельмі ладзілі, але цяпер давай проста парадуемся перамозе!
str_battle_won_unfriendly_quarrelsome|Калі чакаеш падзяк, то чакай далей. Твая дапамога была не асоба патрэбна, ды і ў цябе не было іншых спраў, праўда?
str_battle_won_unfriendly_pitiless|Ты прыйшоў сюды як шакал на труп льва! Ну што ж, частуйся, не буду табе перашкаджаць.
str_battle_won_unfriendly_cunning|{playername}... Што ж, думаю, твая дапамога не перашкодзіць, хоць не магу сказаць, што мне прыемна бачыць цябе.
str_battle_won_unfriendly_sadistic|Прэч, сцярвятнік! Гэта мая перамога, і не думай нават скрасці хоць малую частку маёй славы!
str_battle_won_unfriendly_goodnatured|Аб, гэта ты. Ну што ж, думаю, трэба падзякаваць цябе за дапамогу.
str_battle_won_unfriendly_upstanding|Дзякуй, што прыйшоў да мяне на дапамогу. Мабыць, я пайду, а то яшчэ нагавару лішняга...
str_troop_train_request_default|Мне патрэбен хтосьці накшталт цябе, каб прывесці іх у форму.
str_troop_train_request_martial|Ім патрэбны той, хто растлумачыць ім усю значнасць славы.
str_troop_train_request_quarrelsome|Тоўстыя гультаі. Мяне ад іх ванітуе!
str_troop_train_request_pitiless|Яны баяцца ворага больш, чым мяне, а гэта не справа.
str_troop_train_request_cunning|Людзі, як і мячы, гартуюцца толькі ў агні!
str_troop_train_request_sadistic|Ім патрэбен хтосьці са стрыжнем ўнутры, каб зрабіць іх смялей або забіць на шляху да гэтага.
str_troop_train_request_goodnatured|Яны нядрэнныя хлопцы, але, баюся, пакуль не гатовыя да бітваў.
str_troop_train_request_upstanding|Весці іх у бой у такім стане раўнасільна самагубства.
str_unprovoked_attack_default|Што? Навошта ты нападаеш на нас? А ну кажы!
str_unprovoked_attack_martial|Я не пярэчу супраць бою, але хачу спытаць, навошта ты на нас напаў?
str_unprovoked_attack_quarrelsome|Ты здзяйсняеш вялікую памылку, {шчанюк / дзяўчынка}. Што гэта ты ладзіш?
str_unprovoked_attack_pitiless|Праўда? Калі ты вырашыў сёння памерці, я табе з радасцю дапамагу, але мне цікава, што ты задумаў.
str_unprovoked_attack_cunning|Да ну? Ты робіш вельмі па-дурному. Чаго ты спадзяешся дасягнуць?
str_unprovoked_attack_sadistic|Што гэта? Любіш, калі табе вочы выколваюць?
str_unprovoked_attack_goodnatured|Навошта ты гэта робіш? Нам жа няма чаго сварыцца, {спадар / спадарыня}.
str_unprovoked_attack_upstanding|Я лічу гэты напад незаконным і прыму меры. Навошта ты гэта робіш?
str_unnecessary_attack_default|Калі прыйдзецца, я заб'ю цябе без ваганняў, але спачатку дам табе шанец выратавацца.
str_unnecessary_attack_martial|Я з задавальненнем прыму твой выклік, {спадар / спадарыня}, але ўсё ж дам табе час перадумаць.
str_unnecessary_attack_quarrelsome|Цьфу! У мяне няма часу на глупства! А ну з дарогі!
str_unnecessary_attack_pitiless|Сёння ў мяне добры настрой, і я прыкінуся, што ты нічога не сказаў.
str_unnecessary_attack_cunning|Не ведаю, навошта ты шукаеш са мной варожасці. Можа, табе лепш проста з'ехаць?
str_unnecessary_attack_sadistic|Я не збіраюся марнаваць на цябе час, нікчэмнасць. Прэч з дарогі!
str_unnecessary_attack_goodnatured|Не ведаю, навошта ты шукаеш са мной бойкі, {спадар / спадарыня}. Лепш едзь.
str_unnecessary_attack_upstanding|Калі ты хочаш бою, {спадар / спадарыня}, то ты яго атрымаеш, але спачатку падумай як след.
str_lord_challenged_default|Як хочаш. Рыхтуйся да смерці!
str_lord_challenged_martial|Так і быць. Абараняйся!
str_lord_challenged_quarrelsome|Паганы сабака! Зараз атрымаеш!
str_lord_challenged_pitiless|Калі ты так хочаш памерці, то я не стану табе ў гэтым адмаўляць.
str_lord_challenged_cunning|Што ж, ты не пакідаеш мне выбару...
str_lord_challenged_sadistic|Бруднае нікчэмнасць! Цяпер жа Пашкадуеш, што з'явіўся на свет!
str_lord_challenged_goodnatured|Добра. Шкада, што нам не ўдалося пазбегнуць гэтага, але выбару ў мяне няма.
str_lord_challenged_upstanding|Так і быць. Шкада, што пераканаць цябе мне не ўдалося.
str_lord_mission_failed_default|Ты мяне расчараваў, але ў цябе будзе яшчэ шмат шанцаў апраўдацца.
str_lord_mission_failed_martial|Праваленае заданне не робіць табе гонару, але я прыму твае словы на веру.
str_lord_mission_failed_quarrelsome|Не выйшла? Цьфу. Нічога іншага я і не чакаў.
str_lord_mission_failed_pitiless|Не атрымалася? Вельмі дрэнна... Ты мяне расчараваў, і вельмі дарма.
str_lord_mission_failed_cunning|Ты расчараваў мяне, але гэта нічога. Няўдачы з усімі здараюцца.
str_lord_mission_failed_sadistic|Праўда? Тыя, хто падводзяць мяне, не заўсёды дажываюць да таго моманту, калі могуць пра гэта пашкадаваць.
str_lord_mission_failed_goodnatured|Ох. Ну, асаблівай надзеі ў мяне і не было. Дзякуй за старанні!
str_lord_mission_failed_upstanding|Ну што зрабіць... Я веру, што ты прыклаў нямала намаганняў.
str_lord_follow_refusal_default|Ісці за табой? Ты забываешся, {спадар / спадарыня}.
str_lord_follow_refusal_martial|Калі калі-небудзь ты ўвянчаеш сябе вайсковай славай, я пайду за табой. Але не сёння.
str_lord_follow_refusal_quarrelsome|Ісці за кімсьці накшталт цябе? Няма ўжо.
str_lord_follow_refusal_pitiless|Дваране накшталт мяне не ідуць за такімі, як ты, {спадар/спадарыня}.
str_lord_follow_refusal_cunning|Спачатку дакажы, што не завабіш мяне ў пастку. Пасля гэтага я, можа, і пайду з табой.
str_lord_follow_refusal_sadistic|Няма ўжо! Лепш ты ідзі за мной, як дварняк за гаспадаром.
str_lord_follow_refusal_goodnatured|У мяне цяпер шмат спраў. Давай потым.
str_lord_follow_refusal_upstanding|Спачатку дакажы, што за табой і сапраўды варта ісці, а там паглядзім.
str_lord_insult_default|сука
str_lord_insult_martial|змея подколодная
str_lord_insult_quarrelsome|баязлівая задніца
str_lord_insult_pitiless|бязроднае стварэнне
str_lord_insult_cunning|халопская падсцілка
str_lord_insult_sadistic|смярдзючая псина
str_lord_insult_goodnatured|чумная пацук
str_lord_insult_upstanding|тупая скаціна
str_rebellion_dilemma_default|[падданы]
str_rebellion_dilemma_martial|{s45} не заслугоўвае гэтага. І хоць я прысягнуў у вернасці {s46}, я не стану падтрымліваць яго, калі ён заняў трон незаконна.
str_rebellion_dilemma_quarrelsome|Хм-м. {s46} ніколі не плаціў мне, так што я яму не абавязаны. Але і {s45} можа апынуцца не лепш, а {s46} хоць неяк праявіў сябе.
str_rebellion_dilemma_pitiless|Хм-м. {s45} сцвярджае, што трон па праве належыць {reg3?ёй: яму}. Гэта вызваляе мяне ад прысягі, дадзенай {s46}. Але мне ўсё роўна трэба ўсё абдумаць.
str_rebellion_dilemma_cunning|Хм-м. {s46} прыняў у мяне прысягу вернасці, аднак тыя, у чыіх руках улада, не так моцна звязаны клятвамі, як простыя людзі. Мы павінны толькі кіраваць, загадваць і не дапускаць вайны.
str_rebellion_dilemma_sadistic|Хм-м. у гэтым жорсткім свеце трэба клапаціцца пра сябе, таму што больш ніхто гэтага не зробіць. Дык што там для мяне?
str_rebellion_dilemma_goodnatured|Я не ведаю, што сказаць. {s46} прыняў маю клятву вернасці, але раз ён сам кіруе незаконна, то і клятва яму не мае сілы.
str_rebellion_dilemma_upstanding|З гэтым будуць праблемы. Нельга проста так прыйсці і сказаць, што мая прысяга {s46} несапраўдная, бо пасля гэтага ўся краіна ўпадзе ў анархію! Але ад мяне патрабуецца падтрымліваць права атрымання ў спадчыну, а {s45} - больш чым законны прэтэндэнт на трон.
str_rebellion_dilemma_2_default|[падданы]
str_rebellion_dilemma_2_martial|Але з іншага боку, {s46} не кідае сваіх людзей ні ў ваенны, ні ў мірны час, і мне вельмі непрыемна парушаць сваю клятву.
str_rebellion_dilemma_2_quarrelsome|Скажы, з чаго б мне даводзіць да агульнага вядомага мярзотніка дзеля {reg3?невядомай мярзоты: невядомага}?
str_rebellion_dilemma_2_pitiless|Гэта небяспечней за ўсё-адказваць на пытанне, хто, па-мойму, варты кіраваць гэтай зямлёй. Гэта выдатная магчымасць загадзя заручыцца ласкай будучага кіраўніка!
str_rebellion_dilemma_2_cunning|{s46} дазволіў пахіснуць сваё становішча, і ён ужо не зможа кіраваць гэтак жа надзейна як той, у чыёй улады ніхто ніколі не сумняваўся. Аднак калі {s45} захопіць трон сілай, {reg3?яе: яго кіраванне будзе не так надзейна, як улада таго, хто заняў яго мірным шляхам.
str_rebellion_dilemma_2_sadistic|Магчыма, калі {S45} прыме мяне да сябе, пакуль {reg3?яе: яго} ўлада слабая, пасля {reg3?яна: ён узнагародзіць мяне. Але калі я прынясу {S46} тваю галаву, мая ўзнагарода можа быць яшчэ вышэй!
str_rebellion_dilemma_2_goodnatured|{s46} заўсёды звяртаўся са мной годна, але вось {s45}, вядома, такога сказаць не можа. Мне цяжка парушыць дадзеную клятву, але падтрымліваць беззаконне таксама не хочацца.
str_rebellion_dilemma_2_upstanding|Думаю, мне трэба зрабіць тое, што я лічу правільным, каб у краіне не пачалася грамадзянская вайна, і яна не стала лёгкай здабычай для ворагаў.
str_rebellion_prior_argument_very_favorable|Мне ўжо называлі прычыны, па якіх варта падтрымаць твайго прэтэндэнта на трон, і я, мабыць, пагаджуся з імі.
str_rebellion_prior_argument_favorable|Мне ўжо называлі прычыны, па якіх варта падтрымаць твайго прэтэндэнта на трон, і я, мабыць, пагаджуся з імі.
str_rebellion_prior_argument_unfavorable|Мне ўжо называлі прычыны, па якіх варта падтрымаць твайго прэтэндэнта на трон, але яны для мяне непераканаўчыя.
str_rebellion_prior_argument_very_unfavorable|Мне ўжо называлі прычыны, па якіх варта падтрымаць твайго прэтэндэнта на трон, але з большасцю з іх я не магу пагадзіцца.
str_rebellion_rival_default|[падданы]
str_rebellion_rival_martial|Твой саюзнік, {s44}, аднойчы засумняваўся ў маім гонару і адвазе. Нячаста выпадае магчымасць пазмагацца з ім у баі і прымусіць яго пашкадаваць пра свае словы.
str_rebellion_rival_quarrelsome|Твой саюзнік - {s44}. Ён вельмі хітры, і я ні кроплі яму не веру.
str_rebellion_rival_pitiless|Цябе, здаецца, падтрымлівае {s44} - мяккі і слабы чалавек, які не здольны кіраваць нават маёнткам. Я пагарджаю яго.
str_rebellion_rival_cunning|{s44}, з якім ты аб'яднаў намаганні, адрозніваецца упартасцю і глупства. Ён таксама мае даўгі.
str_rebellion_rival_sadistic|{s44} - твой саюзнік, але я не жадаю змагацца побач з тым, хто напускае на сябе такі ванітна-праведны выгляд.
str_rebellion_rival_goodnatured|Мне б не хацелася быць на тым жа баку, што і {s44} - слава аб яго жорсткасці Грыміць па ўсёй краіне.
str_rebellion_rival_upstanding|Твой саюзнік - {s44} - небяспечны, ненадзейны і зусім беспрынцыповы чалавек
str_rebellion_argument_favorable|Твае довады цалкам лагічныя
str_rebellion_argument_neutral|Твае довады збольшага пераканаўчыя
str_rebellion_argument_unfavorable|Мяне не пераконваюць твае довады
str_rebellion_persuasion_favorable| ты, У цэлым, справу кажаш
str_rebellion_persuasion_neutral| твае матывы мне зразумелыя
str_rebellion_persuasion_unfavorable| табе не ўдасца мяне пераканаць
str_rebellion_relation_very_favorable| я адчуваю да цябе глыбокую павагу.
str_rebellion_relation_favorable| я цябе вельмі паважаю.
str_rebellion_relation_neutral| я не так добра цябе ведаю.
str_rebellion_relation_unfavorable| я табе не веру.
str_and_comma_3|І больш за тое
str_but_comma_3|Аднак
str_and_comma_1|, і
str_but_comma_1|, але
str_and_comma_2|. Трэба сказаць,
str_but_comma_2|. Прызнацца,
str_rebellion_agree_default|[падданы]
str_rebellion_agree_martial|Добра, рашэнне я прыняў. {s45} мае ўсе правы на трон.
