itm_no_item|Нет предмета
itm_norm_pistol_pl|Пистоли
itm_norm_pistol_melee|Пистоль
itm_norm_pistol_melee_pl|Пистоли
itm_fast_pistol|Скорострельный пистоль
itm_fast_pistol_pl|Скорострельные пистоли
itm_fast_pistol_melee|Скорострельный пистоль
itm_fast_pistol_melee_pl|Скорострельные пистоли
itm_power_pistol|Длинноствольный пистоль
itm_power_pistol_pl|Длинностольные пистоли
itm_power_pistol_melee|Длинноствольный пистоль
itm_power_pistol_melee_pl|Длинноствольные пистоли
itm_uber_pistol|Богатый пистоль
itm_uber_pistol_pl|Богатые пистоли
itm_uber_pistol_melee|Богатый пистоль
itm_uber_pistol_melee_pl|Богатые пистоли
itm_bad_karabin|Ржавый карабин
itm_bad_karabin_pl|Ржавые карабины
itm_bad_karabin_melee|Ржавый карабин
itm_bad_karabin_melee_pl|Ржавые карабины
itm_norm_karabin|Карабин
itm_norm_karabin_pl|Карабины
itm_norm_karabin_melee|Карабин
itm_norm_karabin_melee_pl|Карабины
itm_good_karabin|Хороший карабин
itm_good_karabin_pl|Хорошие карабины
itm_good_karabin_melee|Хороший карабин
itm_good_karabin_melee_pl|Хорошие карабины
itm_uber_karabin|Батарейный карабин
itm_uber_karabin_pl|Батарейные карабины
itm_uber_karabin_melee|Батарейный карабин
itm_uber_karabin_melee_pl|Батарейные карабины
itm_bad_musket|Ржавый мушкет
itm_bad_musket_pl|Ржавые мушкеты
itm_bad_musket_melee|Ржавый мушкет
itm_bad_musket_melee_pl|Ржавые мушкеты
itm_norm_musket|Мушкет
itm_norm_musket_pl|Мушкеты
itm_norm_musket_melee|Мушкет
itm_norm_musket_melee_pl|Мушкеты
itm_good_musket_m|Хороший мушкет
itm_good_musket_m_pl|Хорошие мушкеты
itm_good_musket_m_melee|Хороший мушкет
itm_good_musket_m_melee_pl|Хорошие мушкеты
itm_uber_mushket|Батарейный мушкет
itm_uber_mushket_pl|Батарейные мушкеты
itm_uber_mushket_melee|Батарейный мушкет
itm_uber_mushket_melee_pl|Батарейные мушкеты
itm_t_bad_musket|Ржавый мушкет
itm_t_bad_musket_pl|Ржавые мушкеты
itm_t_bad_musket_melee|Ржавый мушкет
itm_t_bad_musket_melee_pl|Ржавые мушкеты
itm_t_norm_musket|Мушкет
itm_t_norm_musket_pl|Мушкеты
itm_t_norm_musket_melee|Мушкет
itm_t_norm_musket_melee_pl|Мушкеты
itm_t_good_musket|Хороший мушкет
itm_t_good_musket_pl|Хорошие мушкеты
itm_t_good_musket_melee|Хороший мушкет
itm_t_good_musket_melee_pl|Хорошие мушкеты
itm_t_uber_musket|Батарейный мушкет
itm_t_uber_musket_pl|Батарейные мушкеты
itm_t_uber_musket_melee|Батарейный мушкет
itm_t_uber_musket_melee_pl|Батарейные мушкеты
itm_m_dwustwol_karabin|Двуствольный карабин
itm_m_dwustwol_karabin_pl|Двуствольные карабины
itm_m_dwustwol_karabin_melee|Карабин
itm_m_dwustwol_karabin_melee_pl|Карабины
itm_m_dwustwol_pistol|Двуствольный пистоль
itm_m_dwustwol_pistol_pl|Двуствольные пистоли
itm_m_dwustwol_pistol_melee|не должно переводится
itm_m_dwustwol_pistol_melee_pl|не должно переводится
itm_bad_luk|Охотничий лук
itm_bad_luk_pl|Охотничие луки
itm_norm_luk|Лук
itm_norm_luk_pl|Луки
itm_gud_luk|Мощный лук
itm_gud_luk_pl|Мощные луки
itm_uber_luk|Составной лук
itm_uber_luk_pl|Составные луки
itm_bad_shield|Тонкий щит
itm_bad_shield_pl|Тонкие щиты
itm_norm_shield|Щит
itm_norm_shield_pl|Щиты
itm_good_shield|Толстый щит
itm_good_shield_pl|Толстые щиты
itm_stal_shield|Железный щит
itm_stal_shield_pl|Железные щиты
itm_uber_shield|Стальной щит
itm_uber_shield_pl|Стальные щиты
itm_bad_shpaga|Ржавая шпага
itm_bad_shpaga_pl|Ржавые шпаги
itm_norm_shpaga|Шпага
itm_norm_shpaga_pl|Шпаги
itm_good_shpaga_m|Богатая шпага
itm_good_shpaga_m_pl|Богатые шпаги
itm_bad_palash|Ржавый палаш
itm_bad_palash_pl|Ржавые палаши
itm_norm_palash|Палаш
itm_norm_palash_pl|Палаши
itm_good_palash_m|Богатый палаш
itm_good_palash_m_pl|Богатые палаши
itm_bad_p_palash|Ржавый палаш
itm_bad_p_palash_pl|Ржавые палаши
itm_norm_p_palash|Палаш
itm_norm_p_palash_pl|Палаши
itm_good_p_palash|Богатый палаш
itm_good_p_palash_pl|Богатые палаши
itm_bad_sablya_a|Ржавая сабля
itm_bad_sablya_a_pl|Ржавые сабли
itm_norm_sablya_a|Сабля
itm_norm_sablya_a_pl|Сабли
itm_good_sablya_a|Богатая сабля
itm_good_sablya_a_pl|Богатые сабли
itm_bad_sablya_b|Ржавая сабля
itm_bad_sablya_b_pl|Ржавые сабли
itm_norm_sablya_b|Сабля
itm_norm_sablya_b_pl|Сабли
itm_good_sablya_b|Богатая сабля
itm_good_sablya_b_pl|Богатые сабли
itm_t_bad_sablya_a|Ржавая сабля
itm_t_bad_sablya_a_pl|Ржавые сабли
itm_t_norm_sablya_a|Сабля
itm_t_norm_sablya_a_pl|Сабли
itm_t_good_sablya_a|Богатая сабля
itm_t_good_sablya_a_pl|Богатые сабли
itm_norn_k_shablya|Казацкая сабля
itm_norn_k_shablya_pl|Казацкие сабли
itm_good_k_shablya|Богатая казацкая сабля
itm_good_k_shablya_pl|Богатые казацкие сабли
itm_bad_toporik|Топорик
itm_bad_toporik_pl|Топорики
itm_good_toporik|Богатый топорик
itm_good_toporik_pl|Богатые топорики
itm_bad_chekan|Чекан
itm_bad_chekan_pl|Чеканы
itm_good_chekan|Богатый чекан
itm_good_chekan_pl|Богатые чеканы
itm_bad_bulava|Булава
itm_bad_bulava_pl|Булавы
itm_good_bulava|Богатая булава
itm_good_bulava_pl|Богатые булавы
itm_bad_berdish|Бердыш
itm_bad_berdish_pl|Бердыши
itm_good_berdish|Сбалансированый бердыш
itm_good_berdish_pl|Сбалансированые бердыши
itm_m_sovnya|Совня
itm_m_sovnya_pl|Совни
itm_m_alebarda|Алебарда
itm_m_alebarda_pl|Алебарды
itm_m_twohand_sword|Двуручный меч
itm_m_twohand_sword_pl|Двуручные мечи
itm_m_kleymor|Клеймор
itm_m_kleymor_pl|Клейморы
itm_bad_pike|Старая пика
itm_bad_pike_pl|Старые пики
itm_norm_pika|Пика
itm_norm_pika_pl|Пики
itm_good_pike_m|Сбалансированая пика
itm_good_pike_m_pl|Сбалансированые пики
itm_bad_spear|Старое копье 
itm_bad_spear_pl|Старые копья
itm_good_spear|Копье
itm_good_spear_pl|Копье
itm_bad_lance|Старая ланса
itm_bad_lance_pl|Старые лансы
itm_norm_lance|Ланса
itm_norm_lance_pl|Ланса
itm_good_lance|Тяжелая ланса
itm_good_lance_pl|Тяжелые лансы
itm_gusar_lance|Гусарская ланса
itm_gusar_lance_pl|Гусарские лансы
itm_m_mosk_pehota_forma|Стрелецкий мундир
itm_m_mosk_pehota_forma_pl|Стрелецкие мундиры
itm_m_mosk_strelok_forma|Стрелецкий мундир
itm_m_mosk_strelok_forma_pl|Стрелецкие мундиры
itm_m_mosk_kava_forma|Сермяга
itm_m_mosk_kava_forma_pl|Сермяги
itm_m_mosk_bad_armor|Тегиляй
itm_m_mosk_bad_armor_pl|Тегиляи
itm_m_mosk_light_armor|Короткий бахтерец
itm_m_mosk_light_armor_pl|Короткие бахтерцы
itm_m_mosk_norm_armor|Бахтерец
itm_m_mosk_norm_armor_pl|Бахтерцы
itm_m_mosk_good_armor|Зерцало
itm_m_mosk_good_armor_pl|Зерцало
itm_m_mosk_notsogood_armor|Бригантина
itm_m_mosk_notsogood_armor_pl|Бригантины
itm_m_pol_pehota_forma|Униформа пикинера
itm_m_pol_pehota_forma_pl|Униформа пикинеров
itm_m_pol_strelok_forma|Униформа мушкетера
itm_m_pol_strelok_forma_pl|Униформа мушкетеров
itm_m_pol_kava_forma|Униформа драгуна
itm_m_pol_kava_forma_pl|Униформа драгуна
itm_m_pol_light_armor|Усиленная куртка
itm_m_pol_light_armor_pl|Усиленные куртки
itm_m_pol_norm_armor|Кольчуга
itm_m_pol_norm_armor_pl|Кольчуги
itm_m_pol_good_k_armor|Панцирь
itm_m_pol_good_k_armor_pl|Панцири
itm_m_pol_good_p_armor|Кираса
itm_m_pol_good_p_armor_pl|Кирасы
itm_m_pol_uber_p_armor|Латы
itm_m_pol_uber_p_armor_pl|Латы
itm_m_pol_uber_k_armor|Гусарский доспех со шкурой
itm_m_pol_uber_k_armor_pl|Гусарские доспехи со шкурой
itm_m_ukr_pehota_forma|Жупан
itm_m_ukr_pehota_forma_pl|Жупаны
itm_m_ukr_strelok_forma|Жупан
itm_m_ukr_strelok_forma_pl|Жупаны
itm_m_ukr_kava_forma|Жупан
itm_m_ukr_kava_forma_pl|Жупаны
itm_m_ukr_bad_armor|Усиленный жупан
itm_m_ukr_bad_armor_pl|Усиленные жупаны
itm_m_ukr_light_armor|Жупан с подбивом
itm_m_ukr_light_armor_pl|Жупаны с подбивом
itm_m_ukr_norm_armor|Кольчуга
itm_m_ukr_norm_armor_pl|Кольчуги
itm_m_ukr_good_armor|Жупан с кольчугой
itm_m_ukr_good_armor_pl|Жупаны с кольчугой
itm_m_ttr_archer_forma|Халат
itm_m_ttr_archer_forma_pl|Халаты
itm_m_ttr_kava_forma|Халат
itm_m_ttr_kava_forma_pl|Халаты
itm_m_ttr_bad_armor_a|Плотный халат
itm_m_ttr_bad_armor_a_pl|Плотные халаты
itm_m_ttr_bad_armor_b|Плотный халат
itm_m_ttr_bad_armor_b_pl|Плотные халаты
itm_m_ttr_light_armor_a|Стеганый халат
itm_m_ttr_light_armor_a_pl|Стеганые халаты
itm_m_ttr_light_armor_b|Стеганый халат
itm_m_ttr_light_armor_b_pl|Стеганые халаты
itm_m_ttr_norm_armor|Кольчуга
itm_m_ttr_norm_armor_pl|Кольчуги
itm_m_ttr_good_armor|Юшман
itm_m_ttr_good_armor_pl|Юшманы
itm_m_swed_pehot_forma|Костюм
itm_m_swed_pehot_forma_pl|Костюм
itm_m_swed_strelok_forma|Униформа мушкетера
itm_m_swed_strelok_forma_pl|Униформа мушкетеров
itm_m_swed_kava_forma|Униформа драгуна
itm_m_swed_kava_forma_pl|Униформа драгун
itm_m_swed_light_armor|Кожаный камзол
itm_m_swed_light_armor_pl|Кожаные камзолы
itm_m_swed_norm_armor|Полукираса
itm_m_swed_norm_armor_pl|Полукирасы
itm_m_swed_good_p_armor|Кираса
itm_m_swed_good_p_armor_pl|Кирасы
itm_m_swed_uber_p_armor|Полудоспех
itm_m_swed_uber_p_armor_pl|Полудоспехи
itm_m_swed_good_k_armor|Рейтарский полудоспех
itm_m_swed_good_k_armor_pl|Рейтарские полудоспехи
itm_m_swed_shapka|Шапка
itm_m_swed_shapka_pl|Шапки
itm_m_swed_light_helmet|Ржавый морион
itm_m_swed_light_helmet_pl|Ржавые морионы
itm_m_swed_norm_p_helmet|Морион
itm_m_swed_norm_p_helmet_pl|Морионы
itm_m_swed_good_k_helmet|Рейтарский шлем
itm_m_swed_good_k_helmet_pl|Рейтарские шлемы
itm_m_swed_good_p_helmet|Армэ
itm_m_swed_good_p_helmet_pl|Армэ
itm_m_mosk_shapka|Шапка
itm_m_mosk_shapka_pl|Шапка
itm_m_mosk_light_helmet|Шапка бумажная
itm_m_mosk_light_helmet_pl|Шапки бумажные
itm_m_mosk_norm_helmet|Шапка железная
itm_m_mosk_norm_helmet_pl|Шапки железные
itm_m_mosk_good_helmet|Шишак
itm_m_mosk_good_helmet_pl|Шишаки
itm_m_mosk_uber_helmet|Боярский шлем
itm_m_mosk_uber_helmet_pl|Боярские шлемы
itm_m_pol_shapka|Шапка
itm_m_pol_shapka_pl|Шапки
itm_m_pol_good_shapka|Шапка
itm_m_pol_good_shapka_pl|Шапки
itm_m_pol_light_helmet|Мисюрка
itm_m_pol_light_helmet_pl|Мисюрки
itm_m_pol_norm_helmet|Кабассет
itm_m_pol_norm_helmet_pl|Кабассеты
itm_m_pol_good_helmet|Гусарский шлем
itm_m_pol_good_helmet_pl|Гусарские шлемы
itm_m_pol_uber_helmet|Шлем рейтара
itm_m_pol_uber_helmet_pl|Шлемы рейтаров
itm_m_ukr_shapka|Шапка
itm_m_ukr_shapka_pl|Шапки
itm_m_ukr_light_helmet|Мисюрка
itm_m_ukr_light_helmet_pl|Мисюрки
itm_m_ukr_norm_helmet|Шапка с мисюркой
itm_m_ukr_norm_helmet_pl|Шапки с мисюркой
itm_m_ttr_shapka|Шапка
itm_m_ttr_shapka_pl|Шапки
itm_m_ttr_light_helmet|Мисюрка
itm_m_ttr_light_helmet_pl|Мисюрки
itm_m_ttr_norm_helmet|Легкий шлем
itm_m_ttr_norm_helmet_pl|Легкие шлемы
itm_m_ttr_good_helmet|Шлем
itm_m_ttr_good_helmet_pl|Шлемы
itm_m_granata_small|Граната
itm_m_granata_small_pl|Гранаты
itm_bad_gloves|Потертые перчатки
itm_bad_gloves_pl|Потертые перчатки
itm_norm_gloves|Кожаные перчатки
itm_norm_gloves_pl|Кожаные перчатки
itm_good_gloves|Меховые перчатки
itm_good_gloves_pl|Меховые перчатки
itm_uber_gloves|Латные перчатки
itm_uber_gloves_pl|Латные перчатки
itm_bad_boots|Сельские сапоги
itm_bad_boots_pl|Сельские сапоги
itm_bad_boots_mosk|Постолы
itm_bad_boots_mosk_pl|Постолы
itm_bad_boots_swed|Туфли
itm_bad_boots_swed_pl|Туфли
itm_bad_boots_k|Старые высокие сапоги
itm_bad_boots_k_pl|Старые высокие сапоги
itm_norm_boots_k|Высокие сапоги
itm_norm_boots_k_pl|Высокие сапоги
itm_good_boots_k|Богатые высокие сапоги
itm_good_boots_k_pl|Богатые высокие сапоги
itm_bad_boots_p|Старыя боты
itm_bad_boots_p_pl|Старыя боты
itm_norm_boots_p|Боты
itm_norm_boots_p_pl|Боты
itm_good_boots_p|Багатыя боты
itm_good_boots_p_pl|Багатыя боты
itm_bad_botforts|Старыя батфорты
itm_bad_botforts_pl|Старыя батфорты
itm_norm_botforts|Батфорты
itm_norm_botforts_pl|Батфорты
itm_good_botforts|Багатыя батфорты
itm_good_botforts_pl|Багатыя батфорты
itm_good_boots_ttr|Багатыя боты
itm_good_boots_ttr_pl|Багатыя боты
itm_noob_dubinka|Дубіна
itm_noob_dubinka_pl|Дубіна
itm_noob_toporik|Сякерка
itm_noob_toporik_pl|Сякерка
itm_m_janissar_hat|Головной убор янычар
itm_m_janissar_hat_pl|Головной убор янычар
itm_m_yanichar_forma|Униформа янычар
itm_m_yanichar_forma_pl|Униформа янычар
itm_m_janissary_tapki|Турецкие туфли
itm_m_janissary_tapki_pl|Турецкие туфли
itm_m_yatagan_bad|Ятаган
itm_m_yatagan_bad_pl|Ятаган
itm_m_yatagan_good|Ятаган из дамасской стали
itm_m_yatagan_good_pl|Ятаган из дамасской стали
itm_duel_sword|Дуэльный меч
itm_duel_sword_pl|Дуэльные мечи
itm_items_end|Завершение перечня
itm_items_end_pl|Завершение перечня
